terminalname,name,lat,long,el,juris,neigh,firstUse,lastUse
31000,20th & Bell St,38.8561,-77.0512,50.8,Arlington,Crystal City,9/20/2010,12/31/2015
31001,18th & Eads St.,38.85725,-77.05332,45.2,Arlington,Crystal City,4/1/2013,12/31/2015
31002,20th & Crystal Dr,38.856214,-77.049828,39.3,Arlington,Crystal City,9/20/2010,12/31/2015
31003,15th & Crystal Dr,38.86017,-77.049593,38.4,Arlington,Crystal City,9/20/2010,12/31/2015
31004,Aurora Hills Community Ctr/18th & Hayes St,38.857866,-77.05949,53.1,Arlington,Pentagon City,9/20/2010,12/31/2015
31005,Pentagon City Metro / 12th & S Hayes St,38.862303,-77.059936,44.4,Arlington,Pentagon City,9/20/2010,12/31/2015
31006,S Joyce & Army Navy Dr,38.8637,-77.0633,52.7,Arlington,Pentagon City,9/20/2010,12/31/2015
31007,Crystal City Metro / 18th & Bell St,38.857063,-77.051141,53.3,Arlington,Crystal City,9/19/2010,12/31/2015
31008,12th & Army Navy Dr,38.8629,-77.0528,31.7,Arlington,Pentagon City,9/21/2010,12/31/2015
31009,27th & Crystal Dr,38.848441,-77.051516,27.3,Arlington,Potomac Yard,9/15/2010,12/31/2015
31010,S Glebe & Potomac Ave,38.8426,-77.0502,23.5,Arlington,Potomac Yard,9/20/2010,12/31/2015
31011,23rd & Crystal Dr,38.8533,-77.0498,35.3,Arlington,Crystal City,9/19/2010,12/31/2015
31012,26th & S Clark St,38.850688,-77.05152,34.7,Arlington,Crystal City,9/20/2010,12/31/2015
31013,23rd & Eads St,38.853531,-77.053509,41.8,Arlington,Crystal City,9/23/2010,12/31/2015
31014,Lynn & 19th St North,38.897315,-77.070993,67.8,Arlington,Rosslyn,4/16/2011,12/31/2015
31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,38.8946,-77.072305,108.5,Arlington,Rosslyn,4/18/2011,12/31/2015
31016,Clarendon Blvd & Pierce St,38.893648,-77.076701,176.7,Arlington,Rosslyn,4/16/2011,12/31/2015
31017,Wilson Blvd & N Uhle St,38.891696,-77.0846,230.8,Arlington,Courthouse,11/10/2011,12/31/2015
31018,N Rhodes & 16th St N,38.892164,-77.079375,167.2,Arlington,Courthouse,4/16/2011,12/31/2015
31019,Wilson Blvd & N Edgewood St,38.889,-77.0925,246.7,Arlington,Clarendon,11/11/2011,12/31/2015
31020,Wilson Blvd & Franklin Rd,38.8904,-77.0889,233.4,Arlington,Courthouse,12/1/2011,12/31/2015
31021,Clarendon Blvd & N Fillmore St,38.8881,-77.09308,255.7,Arlington,Clarendon,11/22/2011,12/31/2015
31022,Clarendon Metro / Wilson Blvd & N Highland St,38.88786,-77.094875,263.8,Arlington,Clarendon,11/22/2011,12/31/2015
31023,Fairfax Dr & Wilson Blvd,38.885801,-77.097745,263,Arlington,Clarendon,4/27/2012,12/31/2015
31024,Virginia Square Metro / N Monroe St & 9th St N,38.882788,-77.103148,255.9,Arlington,Ballston,2/17/2012,12/31/2015
